year,Games_Total,Goals_Total,Assists_Total,Points_Total,Goals_Per_Game,Assists_Per_Game,Points_Per_Game
1909,84,543,0,543,6.46,0,6.46
1910,80,417,0,417,5.21,0,5.21
1911,118,595,0,595,5.04,0,5.04
1912,162,705,89,794,4.35,0.55,4.9
1913,168,767,397,1164,4.57,2.36,6.93
1914,172,763,286,1049,4.44,1.66,6.1
1915,192,748,322,1070,3.9,1.68,5.57
1916,202,994,398,1392,4.92,1.97,6.89
1917,126,542,262,804,4.3,2.08,6.38
1918,114,404,207,611,3.54,1.82,5.36
1919,162,651,307,958,4.02,1.9,5.91
1920,168,642,319,961,3.82,1.9,5.72
1921,264,936,508,1444,3.55,1.92,5.47
1922,306,1010,537,1547,3.3,1.75,5.06
1923,306,831,402,1233,2.72,1.31,4.03
1924,348,1003,522,1525,2.88,1.5,4.38
1925,432,1055,457,1512,2.44,1.06,3.5
1926,440,879,414,1293,2,0.94,2.94
1927,440,836,418,1254,1.9,0.95,2.85
1928,440,642,382,1024,1.46,0.87,2.33
1929,440,1301,1083,2384,2.96,2.46,5.42
1930,440,1054,973,2027,2.4,2.21,4.61
1931,384,957,1001,1958,2.49,2.61,5.1
1932,432,983,1193,2176,2.28,2.76,5.04
1933,432,1041,1176,2217,2.41,2.72,5.13
1934,432,1087,1420,2507,2.52,3.29,5.8
1935,384,831,1163,1994,2.16,3.03,5.19
1936,384,946,1198,2144,2.46,3.12,5.58
1937,384,972,1363,2335,2.53,3.55,6.08
1938,336,851,1319,2170,2.53,3.93,6.46
1939,336,838,1227,2065,2.49,3.65,6.15
1940,336,900,1348,2248,2.68,4.01,6.69
1941,336,1047,1623,2670,3.12,4.83,7.95
1942,300,1083,1648,2731,3.61,5.49,9.1
1943,300,1225,1748,2973,4.08,5.83,9.91
1944,300,1103,1321,2424,3.68,4.4,8.08
1945,300,1003,1138,2141,3.34,3.79,7.14
1946,360,1138,1479,2617,3.16,4.11,7.27
1947,360,1054,1444,2498,2.93,4.01,6.94
1948,360,978,1332,2310,2.72,3.7,6.42
1949,420,1148,1665,2813,2.73,3.96,6.7
1950,420,1139,1638,2777,2.71,3.9,6.61
1951,420,1090,1630,2720,2.6,3.88,6.48
1952,420,1006,1513,2519,2.4,3.6,6
1953,420,1009,1556,2565,2.4,3.7,6.11
1954,420,1059,1651,2710,2.52,3.93,6.45
1955,420,1064,1692,2756,2.53,4.03,6.56
1956,420,1130,1821,2951,2.69,4.34,7.03
1957,420,1175,1943,3118,2.8,4.63,7.42
1958,420,1217,1987,3204,2.9,4.73,7.63
1959,420,1238,2061,3299,2.95,4.91,7.85
1960,420,1261,2080,3341,3,4.95,7.95
1961,420,1264,2090,3354,3.01,4.98,7.99
1962,420,1249,2024,3273,2.97,4.82,7.79
1963,420,1166,1915,3081,2.78,4.56,7.34
1964,420,1208,1960,3168,2.88,4.67,7.54
1965,420,1277,2114,3391,3.04,5.03,8.07
1966,420,1252,2054,3306,2.98,4.89,7.87
1967,888,2476,4020,6496,2.79,4.53,7.32
1968,912,2718,4477,7195,2.98,4.91,7.89
1969,912,2649,4276,6925,2.9,4.69,7.59
1970,1092,3409,5570,8979,3.12,5.1,8.22
1971,1092,3348,5404,8752,3.07,4.95,8.01
1972,2184,7431,12202,19633,3.4,5.59,8.99
1973,2184,7394,12091,19485,3.39,5.54,8.92
1974,2532,8964,14596,23560,3.54,5.76,9.3
1975,2504,8888,14511,23399,3.55,5.8,9.34
1976,2370,8212,13497,21709,3.46,5.69,9.16
1977,2096,7317,11998,19315,3.49,5.72,9.22
1978,1878,6673,10949,17622,3.55,5.83,9.38
1979,1680,5902,9593,15495,3.51,5.71,9.22
1980,1680,6457,10532,16989,3.84,6.27,10.11
1981,1680,6741,11167,17908,4.01,6.65,10.66
1982,1680,6493,10687,17180,3.86,6.36,10.23
1983,1680,6627,10889,17516,3.94,6.48,10.43
1984,1680,6530,10873,17403,3.89,6.47,10.36
1985,1680,6667,11024,17691,3.97,6.56,10.53
1986,1680,6165,10196,16361,3.67,6.07,9.74
1987,1680,6237,10375,16612,3.71,6.18,9.89
1988,1680,6286,10506,16792,3.74,6.25,10
1989,1680,6189,10346,16535,3.68,6.16,9.84
1990,1680,5805,9748,15553,3.46,5.8,9.26
1991,1760,6123,10299,16422,3.48,5.85,9.33
1992,2016,7311,12315,19626,3.63,6.11,9.74
1993,2184,7081,11809,18890,3.24,5.41,8.65
1994,1248,3727,6201,9928,2.99,4.97,7.96
1995,2132,6701,11166,17867,3.14,5.24,8.38
1996,2132,6216,10295,16511,2.92,4.83,7.74
1997,2132,5624,9349,14973,2.64,4.39,7.02
1998,2214,5830,9822,15652,2.63,4.44,7.07
1999,2296,6306,10647,16953,2.75,4.64,7.38
2000,2460,6782,11555,18337,2.76,4.7,7.45
2001,2460,6442,10867,17309,2.62,4.42,7.04
2002,2460,6530,11155,17685,2.65,4.53,7.19
2003,2460,6318,10752,17070,2.57,4.37,6.94
2005,2460,7443,12878,20321,3.03,5.23,8.26
2006,2460,7082,12392,19474,2.88,5.04,7.92
2007,2460,6691,11561,18252,2.72,4.7,7.42
2008,2460,7006,12137,19143,2.85,4.93,7.78
2009,2460,6803,11777,18580,2.77,4.79,7.55
2010,2460,6721,11543,18264,2.73,4.69,7.42
2011,2460,6545,11264,17809,2.66,4.58,7.24
